순위,곡제목,가수,좋아요
1,너에게 닿기를,10CM,59275
2,like JENNIE,제니 (JENNIE),76348
3,Drowning,WOODZ,189484
4,모르시나요(PROD.로코베리),조째즈,70139
5,TOO BAD (feat. Anderson .Paak),G-DRAGON,146237
6,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,211594
7,Whiplash,aespa,132649
8,나는 반딧불,황가람,141246
9,REBEL HEART,IVE (아이브),98482
10,Flower,오반(OVAN),42975
11,어제보다 슬픈 오늘,우디 (Woody),19502
12,오늘만 I LOVE YOU,BOYNEXTDOOR,141170
13,HAPPY,DAY6 (데이식스),189196
14,HOT,LE SSERAFIM (르세라핌),35068
15,APT.,로제 (ROSÉ),211854
16,ATTITUDE,IVE (아이브),56745
17,한 페이지가 될 수 있게,DAY6 (데이식스),351634
18,toxic till the end,로제 (ROSÉ),111209
19,내게 사랑이 뭐냐고 물어본다면,로이킴,70387
20,Welcome to the Show,DAY6 (데이식스),176630
21,MY LOVE(2025),이예은,17344
22,소나기,이클립스 (ECLIPSE),180239
23,I DO ME,KiiiKiii (키키),49991
24,Die With A Smile,Lady Gaga,91122
25,청춘만화,이무진,56416
26,미치게 그리워서,황가람,26344
27,예뻤어,DAY6 (데이식스),368736
28,Supernova,aespa,180931
29,천상연,이창섭,125576
30,PO￦ER,G-DRAGON,158012
31,DRIP,BABYMONSTER,59781
32,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),482979
33,굿데이 2025 (텔레파시 + 달빛 창가에서),G-DRAGON,38323
34,TAKE ME,G-DRAGON,61332
35,슬픈 초대장,순순희(지환),69787
36,Maybe Tomorrow,DAY6 (데이식스),24272
37,사랑은 늘 도망가,임영웅,226493
38,첫 만남은 계획대로 되지 않아,TWS (투어스),159664
39,청혼하지 않을 이유를 못 찾았어,이무진,54736
40,Love wins all,아이유,209276
41,UP (KARINA Solo),aespa,110158
42,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),148306
43,내 이름 맑음,QWER,94238
44,고민중독,QWER,144674
45,The Chase,Hearts2Hearts (하츠투하츠),31341
46,Magnetic,아일릿(ILLIT),132578
47,너의 모든 순간,성시경,308321
48,사랑인가 봐,멜로망스,223909
49,비의 랩소디,임재현,100257
50,HANDS UP,MEOVV (미야오),8893
51,에피소드,이무진,125944
52,How Sweet,NewJeans,150192
53,이렇게 좋아해 본 적이 없어요,BOYNEXTDOOR,49475
54,주저하는 연인들을 위해,잔나비,440897
55,Supersonic,프로미스나인,78761
56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,437251
57,I AM,IVE (아이브),229376
58,나는 아픈 건 딱 질색이니까,i-dle (아이들),168968
59,우리들의 블루스,임영웅,115851
60,다정히 내 이름을 부르면,경서예지,212842
61,"무제(無題) (Untitled, 2014)",G-DRAGON,316298
62,헤어지자 말해요,박재정,186938
63,마음 따라 뛰는 건 멋지지 않아?,TWS (투어스),17945
64,Seven (feat. Latto) - Clean Ver.,정국,222394
65,Mantra,제니 (JENNIE),76207
66,천국보다 아름다운,임영웅,29865
67,Hype Boy,NewJeans,309237
68,LOVE ATTACK,RESCENE (리센느),35710
69,인사,범진,145801
70,Small girl (feat. 도경수(D.O.)),이영지,162022
71,녹아내려요,DAY6 (데이식스),94817
72,봄날,방탄소년단,516330
73,Sticky,KISS OF LIFE,88742
74,너와의 모든 지금,재쓰비 (JAESSBEE),92436
75,취중고백,김민석,199167
76,사막에서 꽃을 피우듯,우디 (Woody),106337
77,다시 만날 수 있을까,임영웅,93163
78,Armageddon,aespa,92179
79,Ditto,NewJeans,304218
80,모래 알갱이,임영웅,69572
81,이제 나만 믿어요,임영웅,181246
82,숙녀에게,송필근,16976
83,미안해 미워해 사랑해,Crush,107741
84,온기,임영웅,45541
85,Dash,PLAVE,55032
86,해야 (HEYA),IVE (아이브),91411
87,1999,마크 (MARK),36894
88,그날이 오면,투모로우바이투게더,7488
89,Home,임영웅,46959
90,Supernatural,NewJeans,106749
91,Sweet Dreams (feat. Miguel),j-hope,32774
92,살기 위해서,순순희,30668
93,춘몽,현서 (HYUN SEO),27421
94,무지개,임영웅,83189
95,영원해,도경수(D.O.),10654
96,London Boy,임영웅,68800
97,Do or Die,임영웅,50933
98,인생찬가,임영웅,61204
99,number one girl,로제 (ROSÉ),57293
100,RIZZ,PLAVE,41428
